name,lang,id,n,size(B),cpu(s),mem(KB),status,load,elapsed(s)
fibonacci,gpp,1,46,212,5.844,1764,0,0% 1% 1% 0% 1% 1% 1% 100%,5.822
fibonacci,gpp,1,46,212,5.793,1880,0,1% 1% 1% 100% 1% 0% 1% 1%,5.774
fibonacci,gpp,1,46,212,5.868,1820,0,0% 0% 1% 0% 0% 0% 100% 0%,5.852
fibonacci,gpp,1,46,212,6.331,1832,0,0% 0% 100% 0% 0% 0% 0% 0%,6.316
fibonacci,gpp,1,46,212,5.903,1780,0,0% 100% 0% 0% 1% 0% 0% 0%,5.891
fibonacci,java,1,46,219,8.016,34736,0,2% 1% 100% 1% 1% 1% 1% 2%,7.994
fibonacci,java,1,46,219,8.315,34716,0,1% 1% 1% 1% 1% 100% 1% 0%,8.295
fibonacci,java,1,46,219,8.448,34664,0,100% 0% 0% 0% 0% 0% 0% 0%,8.426
fibonacci,java,1,46,219,8.705,34756,0,51% 0% 0% 0% 49% 0% 0% 0%,8.685
fibonacci,java,1,46,219,9.039,34620,0,0% 1% 0% 0% 0% 100% 0% 1%,9.017
fibonacci,rs,1,46,283,8.939,976,0,0% 1% 1% 0% 100% 0% 1% 2%,8.941
fibonacci,rs,1,46,283,8.914,1012,0,100% 1% 1% 1% 1% 1% 1% 1%,8.916
fibonacci,rs,1,46,283,9.051,1036,0,0% 0% 0% 0% 0% 0% 100% 0%,9.053
fibonacci,rs,1,46,283,8.946,1008,0,0% 0% 0% 100% 0% 0% 0% 0%,8.902
fibonacci,rs,1,46,283,9.100,1048,0,0% 0% 0% 0% 0% 0% 0% 100%,9.057
quicksort,java,1,0,735,0.054,0,0,0% 0% 0% 0% 0% 0% 33% 75%,0.033
quicksort,java,1,0,735,0.060,0,0,33% 25% 20% 25% 0% 0% 20% 75%,0.038
quicksort,java,1,0,735,0.060,0,0,0% 0% 75% 25% 20% 40% 50% 20%,0.038
quicksort,java,1,0,735,0.060,0,0,40% 50% 0% 20% 0% 0% 100% 0%,0.040
quicksort,java,1,0,735,0.076,0,0,25% 0% 80% 40% 20% 0% 83% 33%,0.050
