name,lang,id,n,size(B),cpu(s),mem(KB),status,load,elapsed(s)
fibonacci,gpp,1,45,212,3.761,0,0,%,3.762
fibonacci,gpp,1,46,212,6.079,0,0,%,6.079
fibonacci,gpp,1,47,212,9.818,0,0,%,9.818
fibonacci,java,1,45,219,4.980,0,0,%,4.955
fibonacci,java,1,46,219,7.974,0,0,%,7.946
fibonacci,java,1,47,219,13.692,0,0,%,13.669
fibonacci,rs,1,45,283,5.714,0,0,%,5.714
fibonacci,rs,1,46,283,9.276,0,0,%,9.276
fibonacci,rs,1,47,283,15.174,0,0,%,15.174
floydwarshall,rs,1,1000,352,1.786,0,0,%,1.787
floydwarshall,rs,1,1500,352,6.212,0,0,%,6.213
floydwarshall,rs,1,2000,352,14.363,0,0,%,14.362
floydwarshall,java,1,1000,514,3.461,0,0,%,3.063
floydwarshall,java,1,1500,514,10.205,0,0,%,9.796
floydwarshall,java,1,2000,514,23.223,0,0,%,22.820
floydwarshall,gpp,1,1000,320,0.924,0,0,%,0.925
floydwarshall,gpp,1,1500,320,3.116,0,0,%,3.116
floydwarshall,gpp,1,2000,320,7.094,0,0,%,7.094
quicksort,java,1,20000000,555,14.632,0,0,%,5.850
quicksort,gpp,1,20000000,508,4.977,0,0,%,4.978
quicksort,rs,1,20000000,481,3.515,0,0,%,3.515
